goal_id,match_id,minute,goal_type,player_id,assist_player_id,event_type,player_name,is_penalty,is_own_goal,xg_probability,shot_quality_index
goal_492a6cd6880c,match_8714d3878906,69,left-footed_shot,player_6797bdaada0e,player_b7c2aff2db60,goal,Antoine Griezmann,False,False,NULL,NULL
goal_62a08472b9ec,match_8714d3878906,86,right-footed_shot,player_314adc5fe6f2,player_91d1f7b2ed17,goal,Kevin Gameiro,False,False,NULL,NULL
goal_b9d822f8dc45,match_98ff8a51cdaf,56,header,player_d753637040e7,NULL,goal,Saúl,False,False,NULL,NULL
goal_105956825945,match_98ff8a51cdaf,75,own_goal,player_98add928f672,NULL,goal,Stefan Savić,False,True,NULL,NULL
goal_144d5d059244,match_31860ed46a15,53,header,player_d41d8cd98f00,NULL,goal,NULL,False,False,NULL,NULL
goal_7e50d45b5dbd,match_c0cc1c802287,45,left-footed_shot,player_0702e6dee64e,player_532cf7125bc9,goal,Lionel Messi,False,False,NULL,NULL
goal_1f2b024fed4e,match_c0cc1c802287,56,left-footed_shot,player_a11405d965cf,NULL,goal,Ivan Rakitić,False,False,NULL,NULL
goal_1e2c7692d7fa,match_c0cc1c802287,69,left-footed_shot,player_0702e6dee64e,player_f29eba987f13,goal,Lionel Messi,False,False,NULL,NULL
goal_60cf328838a7,match_acc65d9ffc14,2,header,player_d41d8cd98f00,player_9560299113f7,goal,NULL,False,False,NULL,NULL
goal_1d23cfed3e9f,match_acc65d9ffc14,13,right-footed_shot,player_d090323f9ecf,NULL,goal,Gelson Martins,False,False,NULL,NULL
goal_7d374be2851f,match_acc65d9ffc14,43,right-footed_shot,player_cfea3f3802dc,player_0043d9eba957,goal,Bruno Fernandes,False,False,NULL,NULL
goal_fa3546428557,match_acc65d9ffc14,89,left-footed_shot,player_13ff0f850b1e,NULL,goal,Felipe Pardo,False,False,NULL,NULL
goal_bc9433495291,match_acc65d9ffc14,90,left-footed_shot,player_13ff0f850b1e,NULL,goal,Felipe Pardo,False,False,NULL,NULL
goal_c29e7e11ba04,match_0f8809498fa8,69,right-footed_shot,player_168f0999f7ed,player_3071dc3d7be5,goal,Gonzalo Higuaín,False,False,NULL,NULL
goal_0867bd4d67d2,match_0f8809498fa8,80,right-footed_shot,player_d41d8cd98f00,NULL,goal,NULL,False,False,NULL,NULL
goal_7da3708cda9e,match_723ae446c363,49,own_goal,player_75006f6acc7f,NULL,goal,Sebastián Coates,False,True,NULL,NULL
goal_cb4a87353de0,match_bc98be0b4f91,18,own_goal,player_e2bfc3186921,NULL,goal,Dimitrios Nikolaou,False,True,NULL,NULL
goal_59c106c1aebd,match_bc98be0b4f91,61,free_kick,player_0702e6dee64e,NULL,goal,Lionel Messi,False,False,NULL,NULL
goal_e603a1d6c22d,match_bc98be0b4f91,64,left-footed_shot,player_cbfa3ca77c33,player_e8bb92b39930,goal,Lucas Digne,False,False,NULL,NULL
goal_1416b8bde229,match_bc98be0b4f91,90,header,player_e2bfc3186921,player_f41cc063d201,goal,Dimitrios Nikolaou,False,False,NULL,NULL
goal_7f2265a40e95,match_506db2e58843,12,own_goal,player_4866450eaa39,NULL,goal,Alex Sandro,False,True,NULL,NULL
goal_6082128f639c,match_506db2e58843,29,free_kick,player_2a0b01111437,NULL,goal,Miralem Pjanić,False,False,NULL,NULL
goal_cac8006df0fc,match_506db2e58843,84,header,player_d41d8cd98f00,player_3071dc3d7be5,goal,NULL,False,False,NULL,NULL
goal_22615109cbfc,match_2d2db7db1ebd,20,right-footed_shot,player_bb5936706273,NULL,goal,Bruno César,False,False,NULL,NULL
goal_b3c4b5dad743,match_2d2db7db1ebd,79,right-footed_shot,player_168f0999f7ed,player_1ced62608334,goal,Gonzalo Higuaín,False,False,NULL,NULL
goal_4874d72e1ed6,match_a5b9521ecc40,40,right-footed_shot,player_853e5d3be083,player_1b214e1c9f7a,goal,Bas Dost,False,False,NULL,NULL
goal_acba5485e777,match_a5b9521ecc40,43,left-footed_shot,player_bb5936706273,NULL,goal,Bruno César,False,False,NULL,NULL
goal_5214a9432784,match_a5b9521ecc40,66,header,player_853e5d3be083,player_64971755ee1c,goal,Bas Dost,False,False,NULL,NULL
goal_54264cc178a2,match_a5b9521ecc40,86,null,player_403c32952446,NULL,goal,Vadis Odjidja-Ofoe,False,False,NULL,NULL
goal_846d42b8b7db,match_11d255421e66,59,header,player_7852637363ce,player_f73a000d9136,goal,Paco Alcácer,False,False,NULL,NULL
goal_3adf99fb3f0f,match_11d255421e66,90,own_goal,player_d41d8cd98f00,NULL,goal,NULL,False,True,NULL,NULL
goal_f79c11fa6225,match_33ec7b40fb2e,15,left-footed_shot,player_5d978bac3469,player_6fee4709d4da,goal,Juan Cuadrado,False,False,NULL,NULL
goal_6ceb7ad0a0bf,match_33ec7b40fb2e,90,left-footed_shot,player_6a19b31d83f7,NULL,goal,Federico Bernardeschi,False,False,NULL,NULL
goal_8ee1004042da,match_2d2a1824a4d0,5,right-footed_shot,player_0f1983eb3c68,player_36ffcb5e6656,goal,Wissam Ben Yedder,False,False,NULL,NULL
goal_20c47b5b2cfc,match_2d2a1824a4d0,21,right-footed_shot,player_4b45e73fd716,player_6e084cf18636,goal,Roberto Firmino,False,False,NULL,NULL
goal_b55bd33e9505,match_2d2a1824a4d0,37,right-footed_shot,player_5094a7b6925f,NULL,goal,Mo Salah,False,False,NULL,NULL
goal_637c88c81164,match_2d2a1824a4d0,72,right-footed_shot,player_d58c007915f1,player_b1ff8dd1a415,goal,Joaquín Correa,False,False,NULL,NULL
goal_603b7087e235,match_5346392fa117,59,right-footed_shot,player_d41d8cd98f00,NULL,goal,NULL,False,False,NULL,NULL
goal_866b8b4f0ab7,match_5346392fa117,85,right-footed_shot,player_eede1b50eaea,player_545b18145ff3,goal,Damjan Bohar,False,False,NULL,NULL
goal_571bdcc4be03,match_dd52b7a2fe9c,23,free_kick,player_cebdd715d4ec,NULL,goal,Fernando,False,False,NULL,NULL
