match_id,season,date,home_team_id,away_team_id,stadium,city,country,referee,home_score,away_score,possession_home,possession_away
m_159,2015-2016,17-02-2016,bc1f8a8dc753,27df84194517,Ghelamco Arena,Ghent,Bélgica,Svein Oddvar Moen,2,3,0.6,0.4
m_160,2015-2016,08-03-2016,27df84194517,bc1f8a8dc753,Volkswagen Arena,Wolfsburg,Alemania,Damir Skomina,1,0,0.47,0.53
m_161,2015-2016,05-04-2016,550d05ab240e,216584413ea9,Camp Nou,Barcelona,España,Felix Brych,2,1,0.74,0.26
m_162,2015-2016,13-04-2016,216584413ea9,550d05ab240e,Vicente Calderon,Madrid,España,Nicola Rizzoli,2,0,0.23,0.77
m_163,2015-2016,05-04-2016,240dd2121e44,e4bbc3bef62e,Allianz Arena,Munich,Alemania,Szymon Marciniak,1,0,0.68,0.32
m_164,2015-2016,13-04-2016,e4bbc3bef62e,240dd2121e44,Estadio da Luz,Lisboa,Portugal,Björn Kuipers,2,2,0.26,0.74
m_165,2015-2016,06-04-2016,27df84194517,93330b415214,Volkswagen Arena,Wolfsburg,Alemania,Gianluca Rocchi,2,0,0.39,0.61
m_166,2015-2016,12-04-2016,93330b415214,27df84194517,Santiago Bernabeu,Madrid,España,Viktor Kassai,3,0,0.58,0.42
m_167,2015-2016,06-04-2016,bdec8a408440,ebf2d2f5d61d,Parc des Princes,Paris,Francia,Milorad Mažić,2,2,0.33,0.67
m_168,2015-2016,12-04-2016,ebf2d2f5d61d,bdec8a408440,Etihad Stadium,Manchester,Inglaterra,Carlos Velasco Carballo,1,0,0.36,0.64
m_169,2015-2016,26-04-2016,ebf2d2f5d61d,93330b415214,Etihad Stadium,Manchester,Inglaterra,Cüneyt Çakır,0,0,0.45,0.55
m_170,2015-2016,04-05-2016,93330b415214,ebf2d2f5d61d,Santiago Bernabeu,Madrid,España,Damir Skomina,1,0,0.55,0.45
m_171,2015-2016,27-04-2016,216584413ea9,240dd2121e44,Vicente Calderon,Madrid,España,Mark Clattenburg,1,0,0.26,0.74
m_172,2015-2016,03-05-2016,240dd2121e44,216584413ea9,Allianz Arena,Munich,Alemania,Cüneyt Çakır,2,1,0.73,0.27
m_173,2015-2016,28-05-2016,93330b415214,216584413ea9,San Siro,Milán,Italia,Mark Clattenburg,1,1,0.48,0.52
m_174,2016-2017,14-02-2017,bdec8a408440,550d05ab240e,Parc des Princes,Paris,Francia,Szymon Marciniak,4,0,0.57,0.43
m_175,2016-2017,08-03-2017,550d05ab240e,bdec8a408440,Camp Nou,Barcelona,España,Deniz Aytekin,6,1,0.71,0.29
m_176,2016-2017,15-02-2017,e4bbc3bef62e,9457f1ba26ee,Estadio da Luz,Lisboa,Portugal,,1,0,0.31,0.69
m_177,2016-2017,08-03-2017,9457f1ba26ee,e4bbc3bef62e,Signal Iduna Park,Dortmund,Alemania,Martin Atkinson,4,0,0.55,0.45
m_178,2016-2017,14-02-2017,240dd2121e44,4fc9baf21034,Allianz Arena,Munich,Alemania,,5,1,0.74,0.26
m_179,2016-2017,07-03-2017,4fc9baf21034,240dd2121e44,Emirates Stadium,Londres,Inglaterra,Tasos Sidiropoulos,1,5,0.43,0.57
m_180,2016-2017,15-02-2017,93330b415214,c600c031a1ea,Santiago Bernabeu,Madrid,España,Damir Skomina,3,1,0.5,0.5
m_181,2016-2017,07-03-2017,c600c031a1ea,93330b415214,San Paolo,Napoles,Italia,Cüneyt Çakır,1,3,0.55,0.45
m_182,2016-2017,21-02-2017,ebf2d2f5d61d,d6a297c6193f,Etihad Stadium,Manchester,Inglaterra,Antonio Mateu Lahoz,5,3,0.67,0.33
m_183,2016-2017,15-03-2017,d6a297c6193f,ebf2d2f5d61d,Stade Louis II,Monaco,Monaco,Gianluca Rocchi,3,1,0.41,0.59
m_184,2016-2017,21-02-2017,e1e2b54b5c32,216584413ea9,BayArena,Leverkusen,Alemania,William Collum,2,4,0.62,0.38
m_185,2016-2017,15-03-2017,216584413ea9,e1e2b54b5c32,Vicente Calderon,Madrid,España,Sergei Karasev,0,0,0.44,0.56
m_186,2016-2017,22-02-2017,8493f398f200,fdb4b66db097,Estadio do Dragao,Porto,Portugal,Felix Brych,0,2,0.24,0.76
m_187,2016-2017,14-03-2017,fdb4b66db097,8493f398f200,Juventus Stadium,Turin,Italia,Ovidiu Haţegan,1,0,0.66,0.34
