match_id,season,date,home_team_id,away_team_id,stadium,city,country,referee,home_score,away_score,possession_home,possession_away
match_70550b6a37f6,2014-2015,21-04-2015,team_dea56e47f1c6,team_268fb4595b07,Camp Nou,Barcelona,España,Svein Oddvar Moen,2,0,0.57,0.43
match_902121bd3ea9,2014-2015,15-04-2015,team_71d6c631e36a,team_005131c0e2cb,Estadio do Dragao,Porto,Portugal,Carlos Velasco Carballo,3,1,0.32,0.68
match_65f5d931e02b,2014-2015,21-04-2015,team_005131c0e2cb,team_71d6c631e36a,Allianz Arena,Munich,Alemania,Martin Atkinson,6,1,0.55,0.45
match_4befd2e91b6b,2014-2015,15-04-2015,team_b89dc80fb627,team_77f09e122946,Juventus Stadium,Turin,Italia,NULL,1,0,0.64,0.36
match_ece7f49a1511,2014-2015,22-04-2015,team_77f09e122946,team_b89dc80fb627,Stade Louis II,Monaco,Monaco,William Collum,0,0,0.56,0.44
match_4c50f424a31d,2014-2015,05-05-2015,team_b89dc80fb627,team_bd172eeb9d96,Juventus Stadium,Turin,Italia,Martin Atkinson,2,1,0.48,0.52
match_1bc11952272b,2014-2015,13-05-2015,team_bd172eeb9d96,team_b89dc80fb627,Santiago Bernabeu,Madrid,España,Jonas Eriksson,1,1,0.54,0.46
match_f12e33b59f83,2014-2015,06-05-2015,team_dea56e47f1c6,team_005131c0e2cb,Camp Nou,Barcelona,España,Nicola Rizzoli,3,0,0.45,0.55
match_bf4850930d14,2014-2015,12-05-2015,team_005131c0e2cb,team_dea56e47f1c6,Allianz Arena,Munich,Alemania,Mark Clattenburg,3,2,0.54,0.46
match_9a38b218f9e9,2014-2015,06-06-2015,team_dea56e47f1c6,team_b89dc80fb627,Olympiastadion,Berlin,Alemania,Cüneyt Çakır,3,1,0.62,0.38
match_1a064af48543,2015-2016,16-02-2016,team_268fb4595b07,team_91cb315a6405,Parc des Princes,Paris,Francia,Carlos Velasco Carballo,2,1,0.35,0.65
match_cc0db5973d71,2015-2016,09-03-2016,team_91cb315a6405,team_268fb4595b07,Stamford Bridge,Londres,Inglaterra,Felix Brych,1,2,0.37,0.63
match_1f7e8ccaaa1c,2015-2016,17-02-2016,team_2e92d188dbdb,team_bd172eeb9d96,Stadio Olimpico,Roma,Italia,Pavel Královec,0,2,0.39,0.61
match_26e61312bcbd,2015-2016,08-03-2016,team_bd172eeb9d96,team_2e92d188dbdb,Santiago Bernabeu,Madrid,España,Szymon Marciniak,2,0,0.59,0.41
match_48ab99fb1041,2015-2016,23-02-2016,team_1c5442c0461e,team_dea56e47f1c6,Emirates Stadium,Londres,Inglaterra,Cüneyt Çakır,0,2,0.34,0.66
match_99004a7093e4,2015-2016,16-03-2016,team_dea56e47f1c6,team_1c5442c0461e,Camp Nou,Barcelona,España,Sergei Karasev,3,1,0.64,0.36
match_04f400afa3b0,2015-2016,23-02-2016,team_b89dc80fb627,team_005131c0e2cb,Juventus Stadium,Turin,Italia,Martin Atkinson,2,2,0.33,0.67
match_a7bc3b5ff94a,2015-2016,16-03-2016,team_005131c0e2cb,team_b89dc80fb627,Allianz Arena,Munich,Alemania,Jonas Eriksson,4,2,0.75,0.25
match_8163fcf58df6,2015-2016,24-02-2016,team_b5e74fe2a6a3,team_7c96c6c75fa1,Philips Stadion,Eindhoven,Países Bajos,Daniele Orsato,0,0,0.42,0.58
match_1a043120a9d8,2015-2016,15-03-2016,team_7c96c6c75fa1,team_b5e74fe2a6a3,Vicente Calderon,Madrid,España,Mark Clattenburg,0,0,0.59,0.41
match_f8e7fac6d697,2015-2016,24-02-2016,team_46a7f9bf80a8,team_13d462033389,Olimpiyskiy Stadium,Kiev,Ucrania,Antonio Mateu Lahoz,1,3,0.49,0.51
match_1f00efad74db,2015-2016,15-03-2016,team_13d462033389,team_46a7f9bf80a8,Etihad Stadium,Manchester,Inglaterra,Ovidiu Haţegan,0,0,0.46,0.54
match_0523748200c6,2015-2016,16-02-2016,team_41d823ab960e,team_d1a8e0ed2ef9,Estadio da Luz,Lisboa,Portugal,Gianluca Rocchi,1,0,0.64,0.36
match_365035f72199,2015-2016,09-03-2016,team_d1a8e0ed2ef9,team_41d823ab960e,Petrovsky Stadium,San Petersburgo,Rusia,Viktor Kassai,1,2,0.56,0.44
